TS,Track V, Car V, Car I
1609459227456,10.024882,0.057022,3.565118
1609459227502,10.024882,0.057022,3.532891
1609459227566,10.016109,0.052636,3.565118
1609459227630,10.016109,0.057022,3.565118
1609459227694,10.020496,0.052636,3.532891
1609459227758,10.020496,0.052636,3.532891
1609459227823,10.007337,0.052636,3.500664
1609459227887,10.007337,0.057022,3.565118
1609459228015,10.002951,0.057022,3.468436
1609459228079,10.033655,0.052636,3.565118
1609459228143,10.038041,0.057022,3.597345
1609459228209,10.033655,0.048249,3.532891
1609459228350,10.038041,0.052636,3.532891
1609459228478,9.963474,4.830410,3.984070
1609459228606,9.959088,5.510286,4.048523
1609459228670,9.862590,5.483968,5.049576
1609459228735,9.586252,5.817601,7.595513
1609459228799,9.761704,4.681276,6.016388
1609459228963,10.011724,6.291321,3.694026
1609459229027,9.665206,6.383433,7.112108
1609459229091,9.656433,5.549763,7.273243
1609459229219,9.779250,4.097624,5.726345
1609459229347,9.704683,6.256230,6.499794
1609459229411,9.866976,5.080429,5.049576
1609459229475,10.016109,3.549337,3.565118
1609459229604,9.695910,6.269390,6.757610
1609459229668,9.853817,5.536603,5.210712
1609459229732,10.007337,4.264303,3.822934
1609459229796,9.910838,4.830410,4.823987
1609459229862,9.845044,5.387470,5.532982
1609459229924,9.840658,5.431333,5.597436
1609459229988,9.809954,5.203245,5.790799
1609459230116,10.002951,9.673979,3.565118
1609459230278,10.007337,9.669593,3.597345
1609459230342,10.016109,9.397642,3.565118
1609459230470,10.016109,0.057022,3.565118
1609459230534,10.038041,0.052636,3.565118
1609459230662,10.020496,0.057022,3.597345
1609459230728,10.020496,0.057022,3.565118
1609459230855,10.016109,0.057022,3.565118
1609459230983,10.042427,0.052636,3.565118
1609459231111,10.020496,0.057022,3.532891
1609459231175,10.007337,0.052636,3.565118
1609459231303,10.029269,0.057022,3.565118
1609459231431,10.038041,0.057022,3.532891
1609459231559,10.033655,0.057022,3.532891
1609459231687,10.020496,0.057022,3.597345
1609459231815,10.024882,0.057022,3.565118
