TS,Track V,Car V,Car I
1609460552544,12.859253,0.057022,3.573174
1609460552596,12.863640,0.057022,3.573174
1609460552660,12.859253,0.052636,3.540947
1609460552724,12.854867,0.057022,3.573174
1609460552788,12.854867,0.057022,3.637629
1609460552916,12.859253,0.057022,3.573174
1609460552980,12.863640,0.057022,3.573174
1609460553044,12.859253,0.052636,3.540947
1609460553108,12.859253,0.057022,3.573174
1609460553172,12.859253,0.057022,3.573174
1609460553236,12.854867,0.057022,3.540947
1609460553300,12.854867,0.052636,3.573174
1609460553428,12.863640,0.057022,3.540947
1609460553492,12.301919,2.926209,5.444358
1609460553557,12.205421,5.203245,6.217807
1609460553621,11.951015,4.044989,9.021561
1609460553685,12.266829,3.277112,4.767590
1609460553749,12.705732,0.438630,3.186450
1609460553877,12.332623,7.546076,5.412131
1609460553941,12.512735,2.377922,5.412131
1609460554005,12.859253,0.710580,3.573174
1609460554133,11.990492,3.887082,8.538155
1609460554197,11.981720,4.180964,8.763744
1609460554336,12.811005,1.206506,2.413001
1609460554400,12.288760,3.413362,5.863309
1609460554592,12.003651,6.050075,8.538155
1609460554656,12.170331,6.216754,7.539116
1609460554720,12.165943,6.023757,7.603570
1609460554784,12.135241,6.699247,7.732478
1609460554848,12.179103,7.357466,7.571343
1609460554912,12.148398,7.800482,7.732478
1609460554978,12.363602,7.673279,5.444358
1609460555105,12.675029,2.386694,1.123919
1609460555169,12.683801,1.974108,1.575097
1609460555233,12.688187,1.574955,1.961822
1609460555297,12.696960,1.210892,2.348547
1609460555425,12.323850,3.566882,5.186542
1609460555553,12.363602,6.168505,3.637629
1609460555617,11.674679,4.422210,4.121034
1609460555747,12.130853,3.141137,7.635797
1609460555937,12.016810,4.913750,8.280338
1609460556065,12.192262,5.536603,7.474662
1609460556129,12.543439,5.141837,5.186542
1609460556193,12.793459,1.781111,1.736233
1609460556321,12.284373,3.909014,6.217807
1609460556449,12.144012,5.602398,7.571343
1609460556577,12.144012,5.791283,7.506889
1609460556705,12.622394,2.259491,2.348547
1609460556834,12.622394,2.316513,3.540947
1609460556962,12.157171,3.601972,5.702174
1609460557090,12.051901,4.580391,7.990295
1609460557218,12.086990,5.830760,8.151430
1609460557346,12.565371,1.636363,1.929595
1609460557474,12.587303,2.013585,3.573174
1609460557602,12.144012,3.404589,5.508812
1609460557796,11.657133,6.409751,10.858502
1609460557922,12.556599,6.199209,4.928725
1609460557986,12.753982,2.483193,0.962783
1609460558114,12.819777,2.820937,3.508720
1609460558242,12.222966,3.952876,5.025406
1609460558371,12.284373,4.536528,6.185580
1609460558499,12.117695,5.483968,7.635797
1609460558627,11.578180,8.020070,11.438590
1609460558755,11.595726,11.459750,11.567498
1609460558883,12.811005,6.725564,3.540947
1609460559011,12.613620,2.579691,0.962783
1609460559139,12.253670,4.211668,3.863218
1609460559267,12.183489,4.413437,5.444358
1609460559395,12.205421,5.190086,6.668986
1609460559523,11.972946,6.866200,8.924879
1609460559716,12.003651,9.173941,9.053787
1609460559844,12.762754,3.114820,0.350469
1609460559973,12.793459,2.127628,1.446189
1609460560101,12.841707,2.597236,2.960860
1609460560229,12.863640,2.246332,3.444266
1609460560357,12.745210,4.834796,4.088807
1609460560485,12.179103,2.408626,6.926802
1609460560613,12.126467,4.189736,7.184618
1609460560741,12.008037,4.430983,8.119204
1609460560870,11.990492,5.391856,8.377020
1609460560998,12.705732,3.523019,3.540947
1609460561126,12.661870,1.298618,2.348547
1609460561254,12.047514,5.001475,8.086976
1609460561382,12.113308,5.510286,7.249073
1609460561510,12.029969,6.045688,7.700251
