# race=practice
# car=unknown
# track=unknown
# lane=1
# controller=unknown
# start_epoch=1609459368
# sample_rate_hz=200
t_ms,current_A,track_V,supply_V,marker
0,-0.11,0.06,9.88,0
5,-0.08,0.06,9.88,0
10,0.05,0.06,9.88,0
14,0.08,0.06,9.89,0
18,-0.11,0.06,9.88,0
22,-0.11,0.06,9.88,0
27,-0.08,0.06,9.88,0
32,0.02,0.06,9.86,0
36,0.12,0.06,9.88,0
41,-0.14,0.06,9.88,0
45,-0.01,0.06,9.89,0
49,0.02,0.06,9.88,0
54,0.02,0.06,9.88,0
59,-0.01,0.06,9.88,0
64,0.08,0.06,9.88,0
69,-0.01,0.06,9.87,0
73,0.05,0.06,9.88,0
78,0.02,0.06,9.86,0
118,-0.08,0.06,9.89,0
118,-0.01,0.06,9.89,0
123,-0.14,0.06,9.89,0
128,0.18,0.06,9.86,0
133,0.02,0.06,9.88,0
137,-0.11,0.06,9.89,0
142,0.05,0.06,9.88,0
146,-0.04,0.06,9.88,0
150,-0.01,0.06,9.87,0
155,-0.01,0.06,9.88,0
159,0.02,0.06,9.86,0
164,-0.04,0.05,9.85,0
168,-0.01,0.06,9.88,0
172,0.05,0.06,9.87,0
176,-0.01,0.06,9.88,0
181,0.05,0.06,9.86,0
186,-0.08,0.06,9.89,0
190,-0.08,0.06,9.88,0
195,0.02,0.06,9.88,0
199,-0.08,0.06,9.85,0
204,-0.04,0.06,9.87,0
209,0.08,0.06,9.87,0
214,0.08,0.06,9.88,0
218,0.02,0.06,9.88,0
222,0.05,0.06,9.88,0
227,-0.04,0.06,9.88,0
231,0.05,0.06,9.85,0
236,0.05,0.06,9.88,0
241,-0.08,0.06,9.85,0
245,-0.14,0.06,9.88,0
250,-0.14,0.06,9.88,0
255,-0.04,0.06,9.88,0
259,-0.08,0.06,9.85,0
264,-0.01,0.06,9.85,0
308,0.02,0.06,9.89,0
308,0.05,0.05,9.88,0
313,-0.04,0.06,9.88,0
317,-0.01,0.06,9.88,0
321,0.08,0.06,9.87,0
325,-0.17,0.06,9.89,0
330,-0.01,0.06,9.87,0
334,-0.08,0.06,9.88,0
339,0.05,0.06,9.89,0
343,-0.01,0.06,9.88,0
348,-0.01,0.06,9.87,0
353,0.05,0.06,9.88,0
357,-0.08,0.06,9.88,0
362,0.02,0.06,9.85,0
366,-0.04,0.06,9.88,0
370,-0.01,0.06,9.86,0
375,-0.01,0.06,9.87,0
379,-0.04,0.06,9.85,0
383,0.05,0.06,9.86,0
388,0.02,0.06,9.85,0
392,-0.08,0.06,9.88,0
396,-0.11,0.06,9.88,0
401,0.02,0.06,9.85,0
405,-0.01,0.06,9.88,0
410,0.02,0.06,9.86,0
414,-0.08,0.06,9.87,0
419,0.05,0.06,9.88,0
423,0.05,0.06,9.88,0
428,-0.11,0.06,9.89,0
432,-0.14,0.06,9.86,0
437,0.02,0.06,9.85,0
441,0.12,0.06,9.88,0
446,-0.01,0.06,9.87,0
451,-0.14,0.06,9.88,0
455,0.02,0.06,9.88,0
459,-0.17,0.06,9.88,0
464,-0.11,0.06,9.85,0
468,-0.04,0.06,9.88,0
472,-0.04,0.06,9.88,0
477,0.02,0.06,9.88,0
482,-0.17,0.06,9.86,0
