TS,Track V,Car V,Car I
1609459230587,12.407464,3.606359,5.347677
1609459230639,12.403078,3.685312,5.154314
1609459230703,12.416237,3.781811,5.154314
1609459230767,12.403078,3.939717,4.928725
1609459230831,12.359216,4.501438,5.541039
1609459230895,12.381146,5.163768,5.734401
1609459230959,12.389918,5.510286,5.63772
1609459231024,12.723277,0.35529,1.897368
1609459231088,12.354828,5.071656,5.895536
1609459231152,12.306305,6.18605,6.572305
1609459231216,12.61362,4.74707,4.735363
1609459231280,12.49519,4.931295,4.928725
1609459231346,12.345782,6.133414,5.895536
1609459231479,12.381146,5.203245,4.832044
1609459231543,12.359216,6.146574,5.508812
1609459231607,12.258057,7.177627,6.540078
1609459231671,12.051901,9.037966,7.990295
1609459231735,11.937856,10.788372,8.892653
1609459231801,12.183489,12.08699,7.635797
1609459231863,12.345782,12.262443,6.701213
1609459231927,12.503963,12.416237,5.766628
1609459232079,12.784686,0.596536,0.511604
1609459232143,12.793459,0.513197,0.99501
1609459232207,12.670642,5.38747,4.896498
1609459232271,12.69696,5.378697,4.735363
1609459232400,12.464487,5.207632,5.831082
1609459232466,12.854867,3.290271,3.798764
1609459232528,12.832935,0.293882,2.413001
1609459232592,12.482032,4.518983,5.766628
1609459232656,12.618006,4.479232,5.08986
1609459232720,12.881186,2.215354,3.637629
1609459232784,12.341395,5.426946,6.346715
1609459232912,12.688187,9.134464,4.638681
1609459232976,12.297533,5.519058,6.282261
1609459233041,12.231738,6.493091,6.73344
1609459233105,12.231738,7.133764,7.120164
1609459233170,12.28876,7.690824,6.862348
1609459233329,12.618006,4.94884,4.928725
1609459233393,12.499578,5.86585,5.605493
1609459233521,12.394306,6.475545,6.056672
1609459233586,12.486418,6.607134,5.63772
1609459233649,12.442554,6.923222,5.798855
1609459233713,12.266829,7.862164,6.572305
1609459233778,12.249284,8.120955,6.765667
1609459233841,12.306305,8.164819,6.443396
1609459233970,12.819777,0.372835,1.671778
1609459234036,12.872412,2.320899,3.669856
1609459234162,12.512735,4.843569,5.379904
1609459234226,12.468873,5.462037,5.63772
1609459234354,12.240512,5.624604,6.540078
1609459234482,11.94663,8.485019,8.69929
1609459234610,12.73205,6.409751,4.509773
1609459234738,12.819777,0.364063,1.832914
1609459234901,12.521508,4.580391,5.669947
1609459235029,12.53028,5.295357,5.573266
1609459235093,12.543439,4.874273,5.444358
1609459235157,12.262443,5.690398,6.862348
1609459235285,11.819426,11.714154,9.956145
1609459235413,12.872412,6.440455,3.637629
1609459235541,12.806617,0.451789,1.349508
1609459235669,12.639938,5.418174,5.057633
1609459235797,12.486418,7.063583,5.798855
1609459235925,12.403078,7.489054,6.217807
1609459236053,12.144012,9.314302,7.60357
1609459236181,12.047514,11.94663,8.37702
1609459236310,12.429397,12.354828,6.024445
1609459236444,12.591689,12.517122,5.154314
1609459236572,12.7803,0.609695,0.479377
1609459236700,12.644324,6.458,4.993179
1609459236859,12.508349,7.146924,5.63772
1609459236988,12.49519,7.730301,5.734401
1609459237116,12.214193,9.011647,7.184618
1609459237244,12.003651,11.889607,8.505928
1609459237372,12.28876,12.201034,7.216846
1609459237500,12.442554,12.359216,5.959991
1609459237628,12.850481,8.958738,3.830991
1609459237756,12.793459,0.543901,0.769421
1609459237885,12.881186,2.606009,3.73431
1609459238013,12.881186,2.553373,3.669856
1609459238141,12.460099,5.988667,5.927763
1609459238269,12.328238,6.058847,6.540078
1609459238397,12.144012,8.059547,7.474662
1609459238527,12.49519,7.725914,5.831082
1609459238655,12.723277,4.861114,4.606454
1609459238783,12.473259,6.111483,5.798855
1609459238911,12.416237,7.831185,6.121126
1609459239039,12.196648,9.573094,7.249073
1609459239167,12.811005,0.464948,1.285054
1609459239295,12.62678,4.26869,5.057633
1609459239423,12.644324,4.676889,4.993179
1609459239552,12.547826,5.361152,5.508812
1609459239680,11.977334,7.734687,8.538155
1609459239808,11.990492,11.876449,9.150469
1609459239936,12.802231,0.478106,1.188373
1609459240064,12.881186,2.232899,3.702083
1609459240192,12.420623,5.255881,6.217807
1609459240320,12.284373,6.694861,6.765667
1609459240449,11.565022,11.279912,11.470818
1609459240641,12.846095,8.094638,3.73431
1609459240706,12.7803,0.614082,0.382696
1609459240834,12.62678,6.370274,5.122087
1609459240985,12.315078,8.134114,6.73344
1609459241049,12.332623,8.511336,6.572305
1609459241113,12.222966,10.397992,7.2813
1609459241177,12.117695,12.043127,7.668024
1609459241243,12.025582,11.915925,8.538155
1609459241305,12.161557,12.056287,7.861386
1609459241434,12.438169,12.354828,6.024445
1609459241567,12.556599,12.49519,5.283223
1609459241631,12.749596,10.081904,4.477546
1609459241695,12.771526,0.649172,0.221561
